Name,Type,Pop_08,Pop_09,Pop_10,Pop_11,Pop_12,Pop_13,Pop_14,Pop_15,Pop_16,Pop_17,Pop_18
United States,National,251009998.0,253253138.0,256390428.0,258666188.0,261032045.0,263356005.0,265732678.0,268005522.0,270301427.0,"272,460,904",274605948.0
Alabama,State,3870996.0,3898688.0,3980625.0,3997493.0,4019335.0,4041871.0,4059211.0,4070748.0,4082972.0,"4,094,777",4109359.0
Alaska,State,559346.0,565800.0,577749.0,584567.0,592771.0,599385.0,599474.0,600941.0,604157.0,"603,161",602095.0
Arizona,State,5235123.0,5316387.0,5229908.0,5304658.0,5388365.0,5469060.0,5567140.0,5663944.0,5770861.0,"5,874,596",5996296.0
Arkansas,State,2357363.0,2374089.0,2407988.0,2426548.0,2438682.0,2449550.0,2459895.0,2470760.0,2482955.0,"2,495,932",2508847.0
California,State,29836645.0,30167113.0,30753805.0,31068145.0,31393072.0,31722579.0,32069627.0,32390164.0,32663036.0,"32,888,662",33089613.0
Colorado,State,4049693.0,4120964.0,4152382.0,4220896.0,4290960.0,4367984.0,4447355.0,4542949.0,4632063.0,"4,710,781",4791744.0
Connecticut,State,2932812.0,2951882.0,3013777.0,3029649.0,3043910.0,3054288.0,3061978.0,3061946.0,3060226.0,"3,060,949",3065086.0
Delaware,State,728265.0,736007.0,752949.0,760646.0,768406.0,777619.0,786714.0,795441.0,803341.0,"811,576",821504.0
District of Columbia,State,508021.0,515989.0,530795.0,541801.0,552642.0,564030.0,572788.0,582251.0,590875.0,"596,785",601238.0
Florida,State,15508944.0,15614290.0,16018609.0,16258521.0,16480031.0,16709125.0,16983458.0,17305349.0,17658611.0,"17,971,716",18271712.0
Georgia,State,7826920.0,7937181.0,7912814.0,8003157.0,8106476.0,8187895.0,8288270.0,8397538.0,8516944.0,"8,627,633",8737682.0
Hawaii,State,1077785.0,1083032.0,1144087.0,1155908.0,1168924.0,1180667.0,1187196.0,1193935.0,1200302.0,"1,198,339",1196330.0
Idaho,State,1223541.0,1238079.0,1256890.0,1270672.0,1283965.0,1301066.0,1320877.0,1339988.0,1369107.0,"1,402,234",1436081.0
Illinois,State,10563388.0,10626004.0,10623897.0,10668059.0,10704446.0,10744121.0,10759859.0,10756428.0,10743318.0,"10,731,215",10713681.0
Indiana,State,5246323.0,5279967.0,5340692.0,5371451.0,5399958.0,5436314.0,5466488.0,5483619.0,5510511.0,"5,540,003",5574116.0
Iowa,State,2486127.0,2496048.0,2526684.0,2543043.0,2553591.0,2570198.0,2585119.0,2595775.0,2605250.0,"2,617,029",2630539.0
Kansas,State,2290014.0,2305964.0,2329143.0,2340115.0,2356616.0,2367607.0,2377652.0,2388086.0,2393712.0,"2,397,743",2403453.0
Kentucky,State,3559663.0,3583570.0,3610828.0,3632735.0,3652563.0,3673716.0,3686449.0,3699491.0,3712013.0,"3,728,831",3744646.0
