GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0100000US,,United States,313914040,*****
0400000US01,01,Alabama,4822023,*****
0400000US02,02,Alaska,731449,*****
0400000US04,04,Arizona,6553255,*****
0400000US05,05,Arkansas,2949131,*****
0400000US06,06,California,38041430,*****
0400000US08,08,Colorado,5187582,*****
0400000US09,09,Connecticut,3590347,*****
0400000US10,10,Delaware,917092,*****
0400000US11,11,District of Columbia,632323,*****
0400000US12,12,Florida,19317568,*****
0400000US13,13,Georgia,9919945,*****
0400000US15,15,Hawaii,1392313,*****
0400000US16,16,Idaho,1595728,*****
0400000US17,17,Illinois,12875255,*****
0400000US18,18,Indiana,6537334,*****
0400000US19,19,Iowa,3074186,*****
0400000US20,20,Kansas,2885905,*****
0400000US21,21,Kentucky,4380415,*****
0400000US22,22,Louisiana,4601893,*****
0400000US23,23,Maine,1329192,*****
0400000US24,24,Maryland,5884563,*****
0400000US25,25,Massachusetts,6646144,*****
0400000US26,26,Michigan,9883360,*****
0400000US27,27,Minnesota,5379139,*****
0400000US28,28,Mississippi,2984926,*****
0400000US29,29,Missouri,6021988,*****
0400000US30,30,Montana,1005141,*****
0400000US31,31,Nebraska,1855525,*****
0400000US32,32,Nevada,2758931,*****
0400000US33,33,New Hampshire,1320718,*****
0400000US34,34,New Jersey,8864590,*****
0400000US35,35,New Mexico,2085538,*****
0400000US36,36,New York,19570261,*****
0400000US37,37,North Carolina,9752073,*****
0400000US38,38,North Dakota,699628,*****
0400000US39,39,Ohio,11544225,*****
0400000US40,40,Oklahoma,3814820,*****
0400000US41,41,Oregon,3899353,*****
0400000US42,42,Pennsylvania,12763536,*****
0400000US44,44,Rhode Island,1050292,*****
0400000US45,45,South Carolina,4723723,*****
0400000US46,46,South Dakota,833354,*****
0400000US47,47,Tennessee,6456243,*****
0400000US48,48,Texas,26059203,*****
0400000US49,49,Utah,2855287,*****
0400000US50,50,Vermont,626011,*****
0400000US51,51,Virginia,8185867,*****
0400000US53,53,Washington,6897012,*****
0400000US54,54,West Virginia,1855413,*****
0400000US55,55,Wisconsin,5726398,*****
0400000US56,56,Wyoming,576412,*****
0400000US72,72,Puerto Rico,3667084,*****
0500000US01003,01003,"Baldwin County, Alabama",190790,*****
0500000US01015,01015,"Calhoun County, Alabama",117296,*****
0500000US01043,01043,"Cullman County, Alabama",80440,*****
0500000US01049,01049,"DeKalb County, Alabama",71080,*****
0500000US01051,01051,"Elmore County, Alabama",80629,*****
0500000US01055,01055,"Etowah County, Alabama",104392,*****
0500000US01069,01069,"Houston County, Alabama",103402,*****
0500000US01073,01073,"Jefferson County, Alabama",660009,*****
0500000US01077,01077,"Lauderdale County, Alabama",92542,*****
0500000US01081,01081,"Lee County, Alabama",147257,*****
0500000US01083,01083,"Limestone County, Alabama",87654,*****
0500000US01089,01089,"Madison County, Alabama",343080,*****
0500000US01095,01095,"Marshall County, Alabama",94776,*****
0500000US01097,01097,"Mobile County, Alabama",413936,*****
0500000US01101,01101,"Montgomery County, Alabama",230149,*****
0500000US01103,01103,"Morgan County, Alabama",120395,*****
0500000US01115,01115,"St. Clair County, Alabama",85237,*****
0500000US01117,01117,"Shelby County, Alabama",200941,*****
0500000US01121,01121,"Talladega County, Alabama",81762,*****
0500000US01125,01125,"Tuscaloosa County, Alabama",198596,*****
0500000US01127,01127,"Walker County, Alabama",66221,*****
0500000US02020,02020,"Anchorage Municipality, Alaska",298610,*****
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",100272,*****
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",93925,*****
0500000US04001,04001,"Apache County, Arizona",73195,*****
0500000US04003,04003,"Cochise County, Arizona",132088,*****
0500000US04005,04005,"Coconino County, Arizona",136011,*****
0500000US04013,04013,"Maricopa County, Arizona",3942169,*****
0500000US04015,04015,"Mohave County, Arizona",203334,*****
0500000US04017,04017,"Navajo County, Arizona",107094,*****
0500000US04019,04019,"Pima County, Arizona",992394,*****
0500000US04021,04021,"Pinal County, Arizona",387365,*****
0500000US04025,04025,"Yavapai County, Arizona",212637,*****
0500000US04027,04027,"Yuma County, Arizona",200022,*****
0500000US05007,05007,"Benton County, Arkansas",232268,*****
0500000US05031,05031,"Craighead County, Arkansas",99735,*****
0500000US05045,05045,"Faulkner County, Arkansas",118704,*****
0500000US05051,05051,"Garland County, Arkansas",96903,*****
0500000US05069,05069,"Jefferson County, Arkansas",74723,*****
0500000US05085,05085,"Lonoke County, Arkansas",69839,*****
0500000US05119,05119,"Pulaski County, Arkansas",388953,*****
0500000US05125,05125,"Saline County, Arkansas",111845,*****
0500000US05131,05131,"Sebastian County, Arkansas",127304,*****
0500000US05143,05143,"Washington County, Arkansas",211411,*****
0500000US05145,05145,"White County, Arkansas",78493,*****
0500000US06001,06001,"Alameda County, California",1554720,*****
0500000US06007,06007,"Butte County, California",221539,*****
0500000US06013,06013,"Contra Costa County, California",1079597,*****
0500000US06017,06017,"El Dorado County, California",180561,*****
0500000US06019,06019,"Fresno County, California",947895,*****
0500000US06023,06023,"Humboldt County, California",134827,*****
0500000US06025,06025,"Imperial County, California",176948,*****
0500000US06029,06029,"Kern County, California",856158,*****
0500000US06031,06031,"Kings County, California",151364,*****
0500000US06033,06033,"Lake County, California",63983,*****
0500000US06037,06037,"Los Angeles County, California",9962789,*****
0500000US06039,06039,"Madera County, California",152218,*****
0500000US06041,06041,"Marin County, California",256069,*****
0500000US06045,06045,"Mendocino County, California",87428,*****
0500000US06047,06047,"Merced County, California",262305,*****
0500000US06053,06053,"Monterey County, California",426762,*****
0500000US06055,06055,"Napa County, California",139045,*****
0500000US06057,06057,"Nevada County, California",98292,*****
0500000US06059,06059,"Orange County, California",3090132,*****
0500000US06061,06061,"Placer County, California",361682,*****
0500000US06065,06065,"Riverside County, California",2268783,*****
0500000US06067,06067,"Sacramento County, California",1450121,*****
0500000US06071,06071,"San Bernardino County, California",2081313,*****
0500000US06073,06073,"San Diego County, California",3177063,*****
0500000US06075,06075,"San Francisco County, California",825863,*****
0500000US06077,06077,"San Joaquin County, California",702612,*****
0500000US06079,06079,"San Luis Obispo County, California",274804,*****
0500000US06081,06081,"San Mateo County, California",739311,*****
0500000US06083,06083,"Santa Barbara County, California",431249,*****
0500000US06085,06085,"Santa Clara County, California",1837504,*****
0500000US06087,06087,"Santa Cruz County, California",266776,*****
0500000US06089,06089,"Shasta County, California",178586,*****
0500000US06095,06095,"Solano County, California",420757,*****
0500000US06097,06097,"Sonoma County, California",491829,*****
0500000US06099,06099,"Stanislaus County, California",521726,*****
0500000US06101,06101,"Sutter County, California",95022,*****
0500000US06107,06107,"Tulare County, California",451977,*****
0500000US06111,06111,"Ventura County, California",835981,*****
0500000US06113,06113,"Yolo County, California",204118,*****
0500000US06115,06115,"Yuba County, California",72926,*****
0500000US08001,08001,"Adams County, Colorado",459598,*****
0500000US08005,08005,"Arapahoe County, Colorado",595546,*****
0500000US08013,08013,"Boulder County, Colorado",305318,*****
0500000US08031,08031,"Denver County, Colorado",634265,*****
0500000US08035,08035,"Douglas County, Colorado",298215,*****
0500000US08041,08041,"El Paso County, Colorado",644964,*****
0500000US08059,08059,"Jefferson County, Colorado",545358,*****
0500000US08069,08069,"Larimer County, Colorado",310487,*****
0500000US08077,08077,"Mesa County, Colorado",147848,*****
0500000US08101,08101,"Pueblo County, Colorado",160852,*****
0500000US08123,08123,"Weld County, Colorado",263691,*****
0500000US09001,09001,"Fairfield County, Connecticut",933835,*****
0500000US09003,09003,"Hartford County, Connecticut",897259,*****
0500000US09005,09005,"Litchfield County, Connecticut",187530,*****
0500000US09007,09007,"Middlesex County, Connecticut",165602,*****
0500000US09009,09009,"New Haven County, Connecticut",862813,*****
0500000US09011,09011,"New London County, Connecticut",274170,*****
0500000US09013,09013,"Tolland County, Connecticut",151539,*****
0500000US09015,09015,"Windham County, Connecticut",117599,*****
0500000US10001,10001,"Kent County, Delaware",167626,*****
0500000US10003,10003,"New Castle County, Delaware",546076,*****
0500000US10005,10005,"Sussex County, Delaware",203390,*****
0500000US11001,11001,"District of Columbia, District of Columbia",632323,*****
0500000US12001,12001,"Alachua County, Florida",251417,*****
0500000US12005,12005,"Bay County, Florida",171903,*****
0500000US12009,12009,"Brevard County, Florida",547307,*****
0500000US12011,12011,"Broward County, Florida",1815137,*****
0500000US12015,12015,"Charlotte County, Florida",162449,*****
0500000US12017,12017,"Citrus County, Florida",139360,*****
0500000US12019,12019,"Clay County, Florida",194345,*****
0500000US12021,12021,"Collier County, Florida",332427,*****
0500000US12023,12023,"Columbia County, Florida",67966,*****
0500000US12031,12031,"Duval County, Florida",879602,*****
0500000US12033,12033,"Escambia County, Florida",302715,*****
0500000US12035,12035,"Flagler County, Florida",98359,*****
0500000US12053,12053,"Hernando County, Florida",173422,*****
0500000US12055,12055,"Highlands County, Florida",98128,*****
0500000US12057,12057,"Hillsborough County, Florida",1277746,*****
0500000US12061,12061,"Indian River County, Florida",140567,*****
0500000US12069,12069,"Lake County, Florida",303186,*****
0500000US12071,12071,"Lee County, Florida",645293,*****
0500000US12073,12073,"Leon County, Florida",283769,*****
0500000US12081,12081,"Manatee County, Florida",333895,*****
0500000US12083,12083,"Marion County, Florida",335125,*****
0500000US12085,12085,"Martin County, Florida",148817,*****
0500000US12086,12086,"Miami-Dade County, Florida",2591035,*****
0500000US12087,12087,"Monroe County, Florida",74809,*****
0500000US12089,12089,"Nassau County, Florida",74629,*****
0500000US12091,12091,"Okaloosa County, Florida",190083,*****
0500000US12095,12095,"Orange County, Florida",1202234,*****
0500000US12097,12097,"Osceola County, Florida",287416,*****
0500000US12099,12099,"Palm Beach County, Florida",1356545,*****
0500000US12101,12101,"Pasco County, Florida",470391,*****
0500000US12103,12103,"Pinellas County, Florida",921319,*****
0500000US12105,12105,"Polk County, Florida",616158,*****
0500000US12107,12107,"Putnam County, Florida",73263,*****
0500000US12109,12109,"St. Johns County, Florida",202188,*****
0500000US12111,12111,"St. Lucie County, Florida",283866,*****
0500000US12113,12113,"Santa Rosa County, Florida",158512,*****
0500000US12115,12115,"Sarasota County, Florida",386147,*****
0500000US12117,12117,"Seminole County, Florida",430838,*****
0500000US12119,12119,"Sumter County, Florida",101620,*****
0500000US12127,12127,"Volusia County, Florida",496950,*****
0500000US13013,13013,"Barrow County, Georgia",70169,*****
0500000US13015,13015,"Bartow County, Georgia",100661,*****
0500000US13021,13021,"Bibb County, Georgia",156462,*****
0500000US13031,13031,"Bulloch County, Georgia",72694,*****
0500000US13045,13045,"Carroll County, Georgia",111580,*****
0500000US13047,13047,"Catoosa County, Georgia",65046,*****
0500000US13051,13051,"Chatham County, Georgia",276434,*****
0500000US13057,13057,"Cherokee County, Georgia",221315,*****
0500000US13059,13059,"Clarke County, Georgia",120266,*****
0500000US13063,13063,"Clayton County, Georgia",265888,*****
0500000US13067,13067,"Cobb County, Georgia",707442,*****
0500000US13073,13073,"Columbia County, Georgia",131627,*****
0500000US13077,13077,"Coweta County, Georgia",130929,*****
0500000US13089,13089,"DeKalb County, Georgia",707089,*****
0500000US13095,13095,"Dougherty County, Georgia",94501,*****
0500000US13097,13097,"Douglas County, Georgia",133971,*****
0500000US13113,13113,"Fayette County, Georgia",107524,*****
0500000US13115,13115,"Floyd County, Georgia",96177,*****
0500000US13117,13117,"Forsyth County, Georgia",187928,*****
0500000US13121,13121,"Fulton County, Georgia",977773,*****
0500000US13127,13127,"Glynn County, Georgia",81022,*****
0500000US13135,13135,"Gwinnett County, Georgia",842046,*****
0500000US13139,13139,"Hall County, Georgia",185416,*****
0500000US13151,13151,"Henry County, Georgia",209053,*****
0500000US13153,13153,"Houston County, Georgia",146136,*****
0500000US13179,13179,"Liberty County, Georgia",65471,*****
0500000US13185,13185,"Lowndes County, Georgia",114552,*****
0500000US13215,13215,"Muscogee County, Georgia",198413,*****
0500000US13217,13217,"Newton County, Georgia",101505,*****
0500000US13223,13223,"Paulding County, Georgia",144800,*****
0500000US13245,13245,"Richmond County, Georgia",202587,*****
0500000US13247,13247,"Rockdale County, Georgia",85820,*****
0500000US13285,13285,"Troup County, Georgia",68468,*****
0500000US13295,13295,"Walker County, Georgia",68094,*****
0500000US13297,13297,"Walton County, Georgia",84575,*****
0500000US13313,13313,"Whitfield County, Georgia",103359,*****
0500000US15001,15001,"Hawaii County, Hawaii",189191,*****
0500000US15003,15003,"Honolulu County, Hawaii",976372,*****
0500000US15007,15007,"Kauai County, Hawaii",68434,*****
0500000US15009,15009,"Maui County, Hawaii",158226,77
0500000US16001,16001,"Ada County, Idaho",409061,*****
0500000US16005,16005,"Bannock County, Idaho",83800,*****
0500000US16019,16019,"Bonneville County, Idaho",106684,*****
0500000US16027,16027,"Canyon County, Idaho",193888,*****
0500000US16055,16055,"Kootenai County, Idaho",142357,*****
0500000US16083,16083,"Twin Falls County, Idaho",78595,*****
0500000US17001,17001,"Adams County, Illinois",67197,*****
0500000US17019,17019,"Champaign County, Illinois",203276,*****
0500000US17031,17031,"Cook County, Illinois",5231351,*****
0500000US17037,17037,"DeKalb County, Illinois",104704,*****
0500000US17043,17043,"DuPage County, Illinois",927987,*****
0500000US17089,17089,"Kane County, Illinois",522487,*****
0500000US17091,17091,"Kankakee County, Illinois",113040,*****
0500000US17093,17093,"Kendall County, Illinois",118105,*****
0500000US17097,17097,"Lake County, Illinois",702120,*****
0500000US17099,17099,"LaSalle County, Illinois",112973,*****
0500000US17111,17111,"McHenry County, Illinois",308145,*****
0500000US17113,17113,"McLean County, Illinois",172281,*****
0500000US17115,17115,"Macon County, Illinois",110122,*****
0500000US17119,17119,"Madison County, Illinois",267883,*****
0500000US17143,17143,"Peoria County, Illinois",187254,*****
0500000US17161,17161,"Rock Island County, Illinois",147457,*****
0500000US17163,17163,"St. Clair County, Illinois",268858,*****
0500000US17167,17167,"Sangamon County, Illinois",199271,*****
0500000US17179,17179,"Tazewell County, Illinois",135949,*****
0500000US17183,17183,"Vermilion County, Illinois",80727,*****
0500000US17197,17197,"Will County, Illinois",682518,*****
0500000US17199,17199,"Williamson County, Illinois",66674,*****
0500000US17201,17201,"Winnebago County, Illinois",292069,*****
0500000US18003,18003,"Allen County, Indiana",360412,*****
0500000US18005,18005,"Bartholomew County, Indiana",79129,*****
0500000US18019,18019,"Clark County, Indiana",111951,*****
0500000US18035,18035,"Delaware County, Indiana",117364,*****
0500000US18039,18039,"Elkhart County, Indiana",199619,*****
0500000US18043,18043,"Floyd County, Indiana",75283,*****
0500000US18053,18053,"Grant County, Indiana",69330,*****
0500000US18057,18057,"Hamilton County, Indiana",289495,*****
0500000US18059,18059,"Hancock County, Indiana",70933,*****
0500000US18063,18063,"Hendricks County, Indiana",150434,*****
0500000US18067,18067,"Howard County, Indiana",82849,*****
0500000US18081,18081,"Johnson County, Indiana",143191,*****
0500000US18085,18085,"Kosciusko County, Indiana",77609,*****
0500000US18089,18089,"Lake County, Indiana",493618,*****
0500000US18091,18091,"LaPorte County, Indiana",111246,*****
0500000US18095,18095,"Madison County, Indiana",130348,*****
0500000US18097,18097,"Marion County, Indiana",918977,*****
0500000US18105,18105,"Monroe County, Indiana",141019,*****
0500000US18109,18109,"Morgan County, Indiana",69356,*****
0500000US18127,18127,"Porter County, Indiana",165682,*****
0500000US18141,18141,"St. Joseph County, Indiana",266344,*****
0500000US18157,18157,"Tippecanoe County, Indiana",177513,*****
0500000US18163,18163,"Vanderburgh County, Indiana",180858,*****
0500000US18167,18167,"Vigo County, Indiana",108428,*****
0500000US18177,18177,"Wayne County, Indiana",68346,*****
0500000US19013,19013,"Black Hawk County, Iowa",131820,*****
0500000US19049,19049,"Dallas County, Iowa",71967,*****
0500000US19061,19061,"Dubuque County, Iowa",95097,*****
0500000US19103,19103,"Johnson County, Iowa",136317,*****
0500000US19113,19113,"Linn County, Iowa",215295,*****
0500000US19153,19153,"Polk County, Iowa",443710,*****
0500000US19155,19155,"Pottawattamie County, Iowa",92913,*****
0500000US19163,19163,"Scott County, Iowa",168799,*****
0500000US19169,19169,"Story County, Iowa",91140,*****
0500000US19193,19193,"Woodbury County, Iowa",102323,*****
0500000US20015,20015,"Butler County, Kansas",65827,*****
0500000US20045,20045,"Douglas County, Kansas",112864,*****
0500000US20091,20091,"Johnson County, Kansas",559913,*****
0500000US20103,20103,"Leavenworth County, Kansas",77739,*****
0500000US20161,20161,"Riley County, Kansas",75508,*****
0500000US20173,20173,"Sedgwick County, Kansas",503889,*****
0500000US20177,20177,"Shawnee County, Kansas",178991,*****
0500000US20209,20209,"Wyandotte County, Kansas",159129,*****
0500000US21015,21015,"Boone County, Kentucky",123316,*****
0500000US21029,21029,"Bullitt County, Kentucky",75896,*****
0500000US21037,21037,"Campbell County, Kentucky",90908,*****
0500000US21047,21047,"Christian County, Kentucky",75427,*****
0500000US21059,21059,"Daviess County, Kentucky",97847,*****
0500000US21067,21067,"Fayette County, Kentucky",305489,*****
0500000US21093,21093,"Hardin County, Kentucky",107025,*****
0500000US21111,21111,"Jefferson County, Kentucky",750828,*****
