"Date Printed: Sunday, February 9, 2020 10:58:08 PM"
Title: Uninsured | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming

NA - Not applicable


Geography,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent,Numerator,Percent
"Alabama","673,964","14.3","632,499","13.3","645,435","13.6","579,169","12.1","484,271","10.1","434,973","9.1","448,926","9.4","481,259","10.0"
"Alaska","140,660","20.1","145,288","20.5","131,986","18.5","122,436","17.2","105,966","14.9","100,628","14.0","97,796","13.7","90,128","12.6"
"Arizona","1,095,010","17.2","1,130,959","17.6","1,118,186","17.1","903,328","13.6","727,976","10.8","681,238","10.0","694,790","10.1","749,977","10.6"
"Arkansas","492,310","17.1","476,310","16.4","464,950","16.0","343,171","11.8","277,547","9.5","231,775","7.9","231,802","7.9","243,585","8.2"
"California","6,725,604","18.1","6,709,586","17.9","6,500,179","17.2","4,766,711","12.4","3,317,265","8.6","2,843,903","7.3","2,796,589","7.2","2,825,620","7.2"
"Colorado","759,619","15.1","751,244","14.7","729,188","14.1","542,611","10.3","432,622","8.1","409,743","7.5","414,077","7.5","421,644","7.5"
"Connecticut","308,945","8.8","321,972","9.1","332,503","9.4","245,399","6.9","210,522","6.0","172,214","4.9","193,796","5.5","186,923","5.3"
"Delaware","83,995","9.4","79,894","8.8","83,284","9.1","71,597","7.8","54,498","5.9","53,139","5.7","51,243","5.4","53,962","5.7"
"District of Columbia","42,007","6.9","36,854","5.9","42,295","6.7","34,188","5.3","24,980","3.8","26,346","3.9","26,011","3.8","21,897","3.2"
"Florida","3,911,381","20.9","3,815,840","20.1","3,852,963","20.0","3,245,161","16.6","2,661,549","13.3","2,544,247","12.5","2,676,147","12.9","2,728,485","13.0"
"Georgia","1,882,758","19.6","1,792,319","18.4","1,846,305","18.8","1,568,381","15.8","1,388,400","13.9","1,309,573","12.9","1,375,176","13.4","1,411,183","13.7"
"Hawaii","94,399","7.1","92,338","6.9","90,755","6.7","72,111","5.3","54,531","4.0","48,673","3.5","52,827","3.8","55,799","4.1"
"Idaho","259,094","16.5","254,743","16.2","257,475","16.2","218,707","13.6","180,345","11.0","168,110","10.1","172,013","10.1","192,620","11.1"
"Illinois","1,659,275","13.1","1,622,465","12.8","1,618,204","12.7","1,237,926","9.7","900,289","7.1","816,602","6.5","859,257","6.8","874,608","7.0"
"Indiana","930,829","14.5","919,866","14.3","902,911","14.0","775,884","11.9","627,761","9.6","530,363","8.1","536,399","8.2","545,123","8.3"
"Iowa","269,490","8.9","254,275","8.4","247,717","8.1","188,885","6.2","154,970","5.0","131,612","4.3","146,017","4.7","147,039","4.7"
"Kansas","354,630","12.6","355,564","12.6","348,097","12.3","291,474","10.2","260,508","9.1","248,974","8.7","249,392","8.7","250,355","8.8"
"Kentucky","618,458","14.4","595,460","13.9","616,448","14.3","366,062","8.5","261,468","6.0","223,350","5.1","235,227","5.4","247,641","5.6"
