Full Name,Geography Type,Measure,Year,Diagnosis,Rate,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
Alabama,State,New Diagnosis,2008,709,18.3,,,,,,,,,,,,,,,,
Alaska,State,New Diagnosis,2008,39,7,,,,,,,,,,,,,,,,
Arizona,State,New Diagnosis,2008,679,13,,,,,,,,,,,,,,,,
Arkansas,State,New Diagnosis,2008,238,10.1,,,,,,,,,,,,,,,,
California,State,New Diagnosis,2008,5719,19.2,,,,,,,,,,,,,,,,
Colorado,State,New Diagnosis,2008,451,11.1,,,,,,,,,,,,,,,,
Connecticut,State,New Diagnosis,2008,347,11.8,,,,,,,,,,,,,,,,
Delaware,State,New Diagnosis,2008,153,21,,,,,,,,,,,,,,,,
District of Columbia,State,New Diagnosis,2008,1029,202.6,,,,,,,,,,,,,,,,
Florida,State,New Diagnosis,2008,5775,37.2,,,,,,,,,,,,,,,,
Georgia,State,New Diagnosis,2008,3158,40.3,,,,,,,,,,,,,,,,
Hawaii,State,New Diagnosis,2008,83,7.7,,,,,,,,,,,,,,,,
Idaho,State,New Diagnosis,2008,49,4,,,,,,,,,,,,,,,,
Illinois,State,New Diagnosis,2008,1806,17.1,,,,,,,,,,,,,,,,
Indiana,State,New Diagnosis,2008,463,8.8,,,,,,,,,,,,,,,,
Iowa,State,New Diagnosis,2008,95,3.8,,,,,,,,,,,,,,,,
Kansas,State,New Diagnosis,2008,139,6.1,,,,,,,,,,,,,,,,
Kentucky,State,New Diagnosis,2008,355,10,,,,,,,,,,,,,,,,
Louisiana,State,New Diagnosis,2008,1071,29.4,,,,,,,,,,,,,,,,
Maine,State,New Diagnosis,2008,45,4,,,,,,,,,,,,,,,,
Maryland,State,New Diagnosis,2008,2034,43.3,,,,,,,,,,,,,,,,
Massachusetts,State,New Diagnosis,2008,741,13.4,,,,,,,,,,,,,,,,
Michigan,State,New Diagnosis,2008,774,9.3,,,,,,,,,,,,,,,,
Minnesota,State,New Diagnosis,2008,330,7.6,,,,,,,,,,,,,,,,
Mississippi,State,New Diagnosis,2008,517,21.6,,,,,,,,,,,,,,,,
Missouri,State,New Diagnosis,2008,544,11,,,,,,,,,,,,,,,,
Montana,State,New Diagnosis,2008,22,2.7,,,,,,,,,,,,,,,,
Nebraska,State,New Diagnosis,2008,97,6.7,,,,,,,,,,,,,,,,
Nevada,State,New Diagnosis,2008,387,18.3,,,,,,,,,,,,,,,,
New Hampshire,State,New Diagnosis,2008,43,3.8,,,,,,,,,,,,,,,,
New Jersey,State,New Diagnosis,2008,1431,19.9,,,,,,,,,,,,,,,,
New Mexico,State,New Diagnosis,2008,152,9.4,,,,,,,,,,,,,,,,
New York,State,New Diagnosis,2008,4590,28.1,,,,,,,,,,,,,,,,
North Carolina,State,New Diagnosis,2008,1701,22.4,,,,,,,,,,,,,,,,
North Dakota,State,New Diagnosis,2008,13,2.4,,,,,,,,,,,,,,,,
Ohio,State,New Diagnosis,2008,1056,11,,,,,,,,,,,,,,,,
Oklahoma,State,New Diagnosis,2008,287,9.6,,,,,,,,,,,,,,,,
Oregon,State,New Diagnosis,2008,286,9.1,,,,,,,,,,,,,,,,
Pennsylvania,State,New Diagnosis,2008,1773,16.7,,,,,,,,,,,,,,,,
Rhode Island,State,New Diagnosis,2008,123,13.8,,,,,,,,,,,,,,,,
South Carolina,State,New Diagnosis,2008,709,19,,,,,,,,,,,,,,,,
South Dakota,State,New Diagnosis,2008,28,4.2,,,,,,,,,,,,,,,,
Tennessee,State,New Diagnosis,2008,998,19.3,,,,,,,,,,,,,,,,
Texas,State,New Diagnosis,2008,4171,21.6,,,,,,,,,,,,,,,,
Utah,State,New Diagnosis,2008,131,6.3,,,,,,,,,,,,,,,,
Vermont,State,New Diagnosis,2008,18,3.4,,,,,,,,,,,,,,,,
Virginia,State,New Diagnosis,2008,1067,16.5,,,,,,,,,,,,,,,,
Washington,State,New Diagnosis,2008,523,9.6,,,,,,,,,,,,,,,,
West Virginia,State,New Diagnosis,2008,82,5.3,,,,,,,,,,,,,,,,
Wisconsin,State,New Diagnosis,2008,236,5,,,,,,,,,,,,,,,,
Wyoming,State,New Diagnosis,2008,23,5.2,,,,,,,,,,,,,,,,
Alabama,State,New Diagnosis,2009,695,17.8,,,,,,,,,,,,,,,,
Alaska,State,New Diagnosis,2009,21,3.7,,,,,,,,,,,,,,,,
Arizona,State,New Diagnosis,2009,642,12.1,,,,,,,,,,,,,,,,
Arkansas,State,New Diagnosis,2009,280,11.8,,,,,,,,,,,,,,,,
California,State,New Diagnosis,2009,5417,18,,,,,,,,,,,,,,,,
Colorado,State,New Diagnosis,2009,370,9,,,,,,,,,,,,,,,,
Connecticut,State,New Diagnosis,2009,341,11.6,,,,,,,,,,,,,,,,
Delaware,State,New Diagnosis,2009,150,20.4,,,,,,,,,,,,,,,,
District of Columbia,State,New Diagnosis,2009,833,161.4,,,,,,,,,,,,,,,,
Florida,State,New Diagnosis,2009,5034,32.2,,,,,,,,,,,,,,,,
Georgia,State,New Diagnosis,2009,2910,36.7,,,,,,,,,,,,,,,,
Hawaii,State,New Diagnosis,2009,87,8,,,,,,,,,,,,,,,,
Idaho,State,New Diagnosis,2009,48,3.9,,,,,,,,,,,,,,,,
Illinois,State,New Diagnosis,2009,1728,16.3,,,,,,,,,,,,,,,,
Indiana,State,New Diagnosis,2009,463,8.8,,,,,,,,,,,,,,,,
Iowa,State,New Diagnosis,2009,123,4.9,,,,,,,,,,,,,,,,
Kansas,State,New Diagnosis,2009,152,6.6,,,,,,,,,,,,,,,,
Kentucky,State,New Diagnosis,2009,344,9.6,,,,,,,,,,,,,,,,
Louisiana,State,New Diagnosis,2009,1172,31.8,,,,,,,,,,,,,,,,
Maine,State,New Diagnosis,2009,54,4.8,,,,,,,,,,,,,,,,
Maryland,State,New Diagnosis,2009,1678,35.4,,,,,,,,,,,,,,,,
Massachusetts,State,New Diagnosis,2009,691,12.4,,,,,,,,,,,,,,,,
Michigan,State,New Diagnosis,2009,803,9.6,,,,,,,,,,,,,,,,
Minnesota,State,New Diagnosis,2009,380,8.7,,,,,,,,,,,,,,,,
Mississippi,State,New Diagnosis,2009,497,20.7,,,,,,,,,,,,,,,,
Missouri,State,New Diagnosis,2009,520,10.5,,,,,,,,,,,,,,,,
Montana,State,New Diagnosis,2009,31,3.8,,,,,,,,,,,,,,,,
Nebraska,State,New Diagnosis,2009,108,7.4,,,,,,,,,,,,,,,,
Nevada,State,New Diagnosis,2009,362,16.9,,,,,,,,,,,,,,,,
New Hampshire,State,New Diagnosis,2009,39,3.5,,,,,,,,,,,,,,,,
New Jersey,State,New Diagnosis,2009,1398,19.3,,,,,,,,,,,,,,,,
New Mexico,State,New Diagnosis,2009,160,9.8,,,,,,,,,,,,,,,,
New York,State,New Diagnosis,2009,4175,25.4,,,,,,,,,,,,,,,,
North Carolina,State,New Diagnosis,2009,1577,20.4,,,,,,,,,,,,,,,,
North Dakota,State,New Diagnosis,2009,14,2.6,,,,,,,,,,,,,,,,
Ohio,State,New Diagnosis,2009,1045,10.9,,,,,,,,,,,,,,,,
Oklahoma,State,New Diagnosis,2009,295,9.8,,,,,,,,,,,,,,,,
Oregon,State,New Diagnosis,2009,249,7.8,,,,,,,,,,,,,,,,
Pennsylvania,State,New Diagnosis,2009,1658,15.6,,,,,,,,,,,,,,,,
Rhode Island,State,New Diagnosis,2009,119,13.3,,,,,,,,,,,,,,,,
South Carolina,State,New Diagnosis,2009,759,20.1,,,,,,,,,,,,,,,,
South Dakota,State,New Diagnosis,2009,22,3.3,,,,,,,,,,,,,,,,
Tennessee,State,New Diagnosis,2009,931,17.8,,,,,,,,,,,,,,,,
Texas,State,New Diagnosis,2009,4356,22.2,,,,,,,,,,,,,,,,
Utah,State,New Diagnosis,2009,122,5.7,,,,,,,,,,,,,,,,
Vermont,State,New Diagnosis,2009,18,3.4,,,,,,,,,,,,,,,,
Virginia,State,New Diagnosis,2009,980,15,,,,,,,,,,,,,,,,
Washington,State,New Diagnosis,2009,526,9.5,,,,,,,,,,,,,,,,
West Virginia,State,New Diagnosis,2009,76,4.9,,,,,,,,,,,,,,,,
Wisconsin,State,New Diagnosis,2009,278,5.9,,,,,,,,,,,,,,,,
Wyoming,State,New Diagnosis,2009,20,4.5,,,,,,,,,,,,,,,,
Alabama,State,New Diagnosis,2010,681,17.1,,,,,,,,,,,,,,,,
Alaska,State,New Diagnosis,2010,35,6.1,,,,,,,,,,,,,,,,
Arizona,State,New Diagnosis,2010,619,11.8,,,,,,,,,,,,,,,,
