Name,Graduates 2008-2012,Graduates 2013-2018,Graduates Variance
  Alabama ,43604.6,45118.6,1514.0
  Alaska ,8032.2,7812.0,-220.19999999999982
  Arizona ,62573.2,66317.6,3744.4000000000087
  Arkansas ,28336.4,30091.6,1755.199999999997
  California ,396197.8,423133.0,26935.20000000001
  Colorado ,48614.2,52365.6,3751.4000000000015
  Connecticut ,37083.4,37474.4,391.0
  Delaware ,7930.0,8320.0,390.0
District of Columbia,3561.6,3894.2,332.5999999999999
  Florida ,153218.8,163257.8,10039.0
  Georgia ,89197.8,97329.2,8131.399999999994
  Hawaii ,11239.0,10890.0,-349.0
  Idaho ,17252.0,18243.6,991.5999999999985
  Illinois ,136075.8,138309.6,2233.8000000000175
  Indiana ,64383.0,67143.0,2760.0
  Iowa ,34008.8,32727.6,-1281.2000000000044
  Kansas ,31203.0,32406.4,1203.4000000000015
  Kentucky ,41905.4,43035.6,1130.199999999997
  Louisiana ,35823.0,38419.6,2596.5999999999985
  Maine ,13927.6,12724.0,-1203.6000000000004
  Maryland ,58821.8,57871.2,-950.6000000000058
  Massachusetts ,64959.6,66186.0,1226.4000000000015
  Michigan ,110014.0,102144.0,-7870.0
  Minnesota ,59332.6,57109.0,-2223.5999999999985
  Mississippi ,25651.4,26812.4,1161.0
  Missouri ,62597.4,61087.4,-1510.0
  Montana ,10006.0,9439.8,-566.2000000000007
  Nebraska ,19940.2,20810.4,870.2000000000007
  Nevada ,20549.6,23019.6,2470.0
  New Hampshire ,14738.8,13746.4,-992.3999999999996
  New Jersey ,95061.8,96082.0,1020.1999999999971
  New Mexico ,18891.4,19376.4,485.0
  New York ,180923.6,180488.2,-435.3999999999942
  North Carolina ,88518.4,98557.8,10039.400000000009
  North Dakota ,7096.8,7022.0,-74.80000000000018
  Ohio ,122752.4,120446.2,-2306.199999999997
  Oklahoma ,37680.2,38478.6,798.4000000000015
  Oregon ,34748.4,34711.8,-36.599999999998545
  Pennsylvania ,130831.0,124707.4,-6123.600000000006
  Rhode Island ,9951.6,9723.8,-227.8000000000011
  South Carolina ,39401.0,43183.2,3782.199999999997
  South Dakota ,8262.2,8061.8,-200.40000000000055
  Tennessee ,60915.6,62114.6,1199.0
  Texas ,276058.2,313452.0,37393.79999999999
  Utah ,30431.2,34595.2,4163.999999999996
  Vermont ,7118.2,6268.2,-850.0
  Virginia ,80952.4,83881.8,2929.4000000000087
  Washington ,64418.6,68185.2,3766.5999999999985
  West Virginia ,17548.8,17718.8,170.0
  Wisconsin ,64424.0,60835.0,-3589.0
  Wyoming ,5567.0,5623.8,56.80000000000018
